epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.1202,0.79121,2.33539,1.11823,0.98368,1,0.995,0.89892,0.51698,0.69291,1.20361,0.000273522,0.000273522,0.000273522
2,45.4887,0.69384,1.22787,1.04461,0.9005,1,0.995,0.94634,0.48792,0.56987,1.34454,0.000540276,0.000540276,0.000540276
3,64.8377,0.70542,1.11608,1.02918,0.9828,1,0.995,0.84666,0.6769,0.47975,1.03824,0.000796033,0.000796033,0.000796033
4,83.1577,0.69438,0.97733,1.01489,0.98301,1,0.995,0.84656,0.68186,0.46823,1.64914,0.00078352,0.00078352,0.00078352
5,102.489,0.69086,0.91901,1.02474,0.99474,1,0.995,0.797,0.92195,0.66183,1.33781,0.000767026,0.000767026,0.000767026
6,121.017,0.68235,0.86709,1.02622,0.97803,1,0.995,0.82155,0.59221,0.40829,1.20495,0.000750533,0.000750533,0.000750533
7,140.42,0.63255,0.78338,0.98775,0.98281,1,0.995,0.8955,0.48527,0.38513,1.10073,0.00073404,0.00073404,0.00073404
8,158.735,0.61479,0.71514,0.98007,0.98404,1,0.995,0.89755,0.62663,0.46195,1.30178,0.000717546,0.000717546,0.000717546
9,177.424,0.60719,0.67574,0.97592,0.98302,1,0.995,0.94577,0.33995,0.32353,0.94998,0.000701053,0.000701053,0.000701053
10,196.579,0.60622,0.6514,0.97286,0.9814,1,0.995,0.90138,0.58472,0.31155,0.9823,0.000684559,0.000684559,0.000684559
11,215.173,0.57082,0.60414,0.9674,0.98511,1,0.995,0.89676,0.69358,0.46398,1.41638,0.000668066,0.000668066,0.000668066
12,234.844,0.59041,0.59048,0.96048,0.98297,1,0.995,0.94611,0.43829,0.28653,0.97543,0.000651573,0.000651573,0.000651573
13,253.556,0.55445,0.57573,0.9576,0.98338,1,0.995,0.90138,0.53576,0.36031,1.00701,0.000635079,0.000635079,0.000635079
14,273.226,0.55709,0.57323,0.95436,0.98274,1,0.995,0.8501,0.53896,0.34398,1.25761,0.000618586,0.000618586,0.000618586
15,291.582,0.54082,0.52625,0.9492,0.982,1,0.995,0.8955,0.4942,0.28634,1.12774,0.000602092,0.000602092,0.000602092
